Platform,Begin_date,End_date,Metric_type,Count,Item_ID_Type,Item_ID_Value,Access_Type,Title,Publisher_ID_Type,Publisher_ID_Value,Publisher
SAGE Journals,2020-01-01,2020-01-31,Total_Item_Requests,1,DOI,10.1177/aipb,Controlled,ADCES in Practice,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Requests,1,Proprietary,sage:aipb,,,,,
,,,Total_Item_Investigations,1,Online_ISSN,2633-5603,,,,,
,,,Unique_Item_Investigations,1,Print_ISSN,2633-559X,,,,,
,2020-09-01,2020-09-30,Total_Item_Requests,3,,,,,,,
,,,Unique_Item_Requests,2,,,,,,,
,,,Total_Item_Investigations,3,,,,,,,
,,,Unique_Item_Investigations,2,,,,,,,
SAGE Journals,2020-01-01,2020-01-31,Total_Item_Requests,3,DOI,10.1177/eroa,OA_Gold,AERA Open,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Requests,2,Proprietary,sage:eroa,,,,,
,,,Total_Item_Investigations,3,Online_ISSN,2332-8584,,,,,
,,,Unique_Item_Investigations,2,Print_ISSN,2332-8584,,,,,
,2020-03-01,2020-03-31,Total_Item_Requests,3,,,,,,,
,,,Unique_Item_Requests,1,,,,,,,
,,,Total_Item_Investigations,5,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
,2020-05-01,2020-05-31,Total_Item_Requests,1,,,,,,,
,,,Unique_Item_Requests,1,,,,,,,
,,,Total_Item_Investigations,1,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
,2020-08-01,2020-08-31,Total_Item_Requests,1,,,,,,,
,,,Unique_Item_Requests,1,,,,,,,
,,,Total_Item_Investigations,1,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
,2020-10-01,2020-10-31,Total_Item_Requests,4,,,,,,,
,,,Unique_Item_Requests,3,,,,,,,
,,,Total_Item_Investigations,4,,,,,,,
,,,Unique_Item_Investigations,3,,,,,,,
,2020-12-01,2020-12-31,Total_Item_Requests,3,,,,,,,
,,,Unique_Item_Requests,2,,,,,,,
,,,Total_Item_Investigations,3,,,,,,,
,,,Unique_Item_Investigations,2,,,,,,,
SAGE Journals,2020-03-01,2020-03-31,Total_Item_Requests,3,DOI,10.1177/asna,OA_Gold,ASN Neuro,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Requests,2,Proprietary,sage:asna,,,,,
,,,Total_Item_Investigations,3,Online_ISSN,1759-0914,,,,,
,,,Unique_Item_Investigations,2,Print_ISSN,1759-0914,,,,,
,2020-11-01,2020-11-30,Total_Item_Requests,1,,,,,,,
,,,Unique_Item_Requests,1,,,,,,,
,,,Total_Item_Investigations,1,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
SAGE Journals,2020-06-01,2020-06-30,Total_Item_Requests,3,DOI,10.1177/acaa,Controlled,About Campus,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Requests,2,Proprietary,sage:acaa,,,,,
,,,Total_Item_Investigations,3,Online_ISSN,1536-0687,,,,,
,,,Unique_Item_Investigations,2,Print_ISSN,1086-4822,,,,,
,2020-10-01,2020-10-31,Total_Item_Requests,14,,,,,,,
,,,Unique_Item_Requests,14,,,,,,,
,,,Total_Item_Investigations,34,,,,,,,
,,,Unique_Item_Investigations,24,,,,,,,
,2020-11-01,2020-11-30,Total_Item_Requests,1,,,,,,,
,,,Unique_Item_Requests,1,,,,,,,
,,,Total_Item_Investigations,4,,,,,,,
,,,Unique_Item_Investigations,4,,,,,,,
,2020-12-01,2020-12-31,Total_Item_Requests,4,,,,,,,
,,,Unique_Item_Requests,2,,,,,,,
,,,Total_Item_Investigations,4,,,,,,,
,,,Unique_Item_Investigations,2,,,,,,,
SAGE Journals,2020-07-01,2020-07-31,Total_Item_Requests,1,DOI,10.1177/apca,OA_Gold,Academic Pathology,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Requests,1,Proprietary,sage:apca,,,,,
,,,Total_Item_Investigations,1,Online_ISSN,2374-2895,,,,,
,,,Unique_Item_Investigations,1,Print_ISSN,2374-2895,,,,,
,2020-01-01,2020-01-31,Total_Item_Investigations,1,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
SAGE Journals,2020-08-01,2020-08-31,Total_Item_Requests,1,DOI,10.1177/acha,Controlled,Accounting History,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Requests,1,Proprietary,sage:acha,,,,,
,,,Total_Item_Investigations,1,Online_ISSN,1749-3374,,,,,
,,,Unique_Item_Investigations,1,Print_ISSN,1032-3732,,,,,
SAGE Journals,2020-01-01,2020-01-31,Total_Item_Investigations,1,DOI,10.1177/acrc,Controlled,Acta Radiologica,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Investigations,1,Proprietary,sage:acrc,,,,,
,,,,,Online_ISSN,1600-0455,,,,,
,,,,,Print_ISSN,0284-1851,,,,,
,2020-03-01,2020-03-31,Total_Item_Investigations,1,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,2020-09-01,2020-09-30,Total_Item_Investigations,1,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
SAGE Journals,2020-10-01,2020-10-31,Total_Item_Requests,1,DOI,10.1177/arrb,OA_Gold,Acta Radiologica Open,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Requests,1,Proprietary,sage:arrb,,,,,
,,,Total_Item_Investigations,1,Online_ISSN,2058-4601,,,,,
,,,Unique_Item_Investigations,1,Print_ISSN,2058-4601,,,,,
SAGE Journals,2020-01-01,2020-01-31,Total_Item_Requests,1,DOI,10.1177/asja,Controlled,Acta Sociologica,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Requests,1,Proprietary,sage:asja,,,,,
,,,Total_Item_Investigations,1,Online_ISSN,1502-3869,,,,,
,,,Unique_Item_Investigations,1,Print_ISSN,0001-6993,,,,,
,2020-12-01,2020-12-31,Total_Item_Requests,1,,,,,,,
,,,Unique_Item_Requests,1,,,,,,,
,,,Total_Item_Investigations,1,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
SAGE Journals,2020-04-01,2020-04-30,Total_Item_Requests,1,DOI,10.1177/arja,Controlled,Action Research,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Requests,1,Proprietary,sage:arja,,,,,
,,,Total_Item_Investigations,2,Online_ISSN,1741-2617,,,,,
,,,Unique_Item_Investigations,1,Print_ISSN,1476-7503,,,,,
,2020-06-01,2020-06-30,Total_Item_Requests,1,,,,,,,
,,,Unique_Item_Requests,1,,,,,,,
,,,Total_Item_Investigations,2,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
,2020-07-01,2020-07-31,Total_Item_Requests,1,,,,,,,
,,,Unique_Item_Requests,1,,,,,,,
,,,Total_Item_Investigations,1,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
,2020-08-01,2020-08-31,Total_Item_Requests,14,,,,,,,
,,,Unique_Item_Requests,8,,,,,,,
,,,Total_Item_Investigations,14,,,,,,,
,,,Unique_Item_Investigations,8,,,,,,,
,2020-10-01,2020-10-31,Total_Item_Requests,1,,,,,,,
,,,Unique_Item_Requests,1,,,,,,,
,,,Total_Item_Investigations,1,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
,2020-11-01,2020-11-30,Total_Item_Requests,3,,,,,,,
,,,Unique_Item_Requests,2,,,,,,,
,,,Total_Item_Investigations,3,,,,,,,
,,,Unique_Item_Investigations,2,,,,,,,
SAGE Journals,2020-08-01,2020-08-31,Total_Item_Requests,2,DOI,10.1177/arja,OA_Gold,Action Research,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Requests,2,Proprietary,sage:arja,,,,,
,,,Total_Item_Investigations,2,Online_ISSN,1741-2617,,,,,
,,,Unique_Item_Investigations,2,Print_ISSN,1476-7503,,,,,
SAGE Journals,2020-01-01,2020-01-31,Total_Item_Requests,39,DOI,10.1177/alha,Controlled,Active Learning in Higher Education,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Requests,32,Proprietary,sage:alha,,,,,
,,,Total_Item_Investigations,68,Online_ISSN,1741-2625,,,,,
,,,Unique_Item_Investigations,39,Print_ISSN,1469-7874,,,,,
,2020-04-01,2020-04-30,Total_Item_Requests,4,,,,,,,
,,,Unique_Item_Requests,3,,,,,,,
,,,Total_Item_Investigations,4,,,,,,,
,,,Unique_Item_Investigations,3,,,,,,,
,2020-05-01,2020-05-31,Total_Item_Requests,2,,,,,,,
,,,Unique_Item_Requests,2,,,,,,,
,,,Total_Item_Investigations,2,,,,,,,
,,,Unique_Item_Investigations,2,,,,,,,
,2020-06-01,2020-06-30,Total_Item_Requests,23,,,,,,,
,,,Unique_Item_Requests,13,,,,,,,
,,,Total_Item_Investigations,23,,,,,,,
,,,Unique_Item_Investigations,13,,,,,,,
,2020-09-01,2020-09-30,Total_Item_Requests,6,,,,,,,
,,,Unique_Item_Requests,4,,,,,,,
,,,Total_Item_Investigations,6,,,,,,,
,,,Unique_Item_Investigations,4,,,,,,,
,2020-11-01,2020-11-30,Total_Item_Requests,3,,,,,,,
,,,Unique_Item_Requests,2,,,,,,,
,,,Total_Item_Investigations,3,,,,,,,
,,,Unique_Item_Investigations,2,,,,,,,
,2020-12-01,2020-12-31,Total_Item_Requests,2,,,,,,,
,,,Unique_Item_Requests,1,,,,,,,
,,,Total_Item_Investigations,2,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
SAGE Journals,2020-05-01,2020-05-31,Total_Item_Investigations,1,DOI,10.1177/aima,Controlled,Acupuncture in Medicine,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Investigations,1,Proprietary,sage:aima,,,,,
,,,,,Online_ISSN,1759-9873,,,,,
,,,,,Print_ISSN,0964-5284,,,,,
,2020-07-01,2020-07-31,Total_Item_Investigations,1,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
SAGE Journals,2020-10-01,2020-10-31,Total_Item_Requests,1,DOI,10.1177/aima,OA_Gold,Acupuncture in Medicine,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Requests,1,Proprietary,sage:aima,,,,,
,,,Total_Item_Investigations,2,Online_ISSN,1759-9873,,,,,
,,,Unique_Item_Investigations,1,Print_ISSN,0964-5284,,,,,
SAGE Journals,2020-02-01,2020-02-29,Total_Item_Requests,1,DOI,10.1177/aasb,Controlled,Administration & Society,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Requests,1,Proprietary,sage:aasb,,,,,
,,,Total_Item_Investigations,1,Online_ISSN,1552-3039,,,,,
,,,Unique_Item_Investigations,1,Print_ISSN,0095-3997,,,,,
,2020-10-01,2020-10-31,Total_Item_Requests,3,,,,,,,
,,,Unique_Item_Requests,3,,,,,,,
,,,Total_Item_Investigations,3,,,,,,,
,,,Unique_Item_Investigations,3,,,,,,,
,2020-11-01,2020-11-30,Total_Item_Requests,6,,,,,,,
,,,Unique_Item_Requests,3,,,,,,,
,,,Total_Item_Investigations,6,,,,,,,
,,,Unique_Item_Investigations,3,,,,,,,
,2020-05-01,2020-05-31,Total_Item_Investigations,1,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
SAGE Journals,2020-09-01,2020-09-30,Total_Item_Requests,2,DOI,10.1177/aasb,OA_Gold,Administration & Society,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Requests,1,Proprietary,sage:aasb,,,,,
,,,Total_Item_Investigations,2,Online_ISSN,1552-3039,,,,,
,,,Unique_Item_Investigations,1,Print_ISSN,0095-3997,,,,,
SAGE Journals,2020-01-01,2020-01-31,Total_Item_Requests,5,DOI,10.1177/asqa,Controlled,Administrative Science Quarterly,Proprietary,sage:sage-publications,SAGE Publications
,,,Unique_Item_Requests,5,Proprietary,sage:asqa,,,,,
,,,Total_Item_Investigations,11,Online_ISSN,1930-3815,,,,,
,,,Unique_Item_Investigations,6,Print_ISSN,0001-8392,,,,,
,2020-06-01,2020-06-30,Total_Item_Requests,1,,,,,,,
,,,Unique_Item_Requests,1,,,,,,,
,,,Total_Item_Investigations,1,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
,2020-07-01,2020-07-31,Total_Item_Requests,1,,,,,,,
,,,Unique_Item_Requests,1,,,,,,,
,,,Total_Item_Investigations,1,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
,2020-10-01,2020-10-31,Total_Item_Requests,2,,,,,,,
,,,Unique_Item_Requests,2,,,,,,,
,,,Total_Item_Investigations,3,,,,,,,
,,,Unique_Item_Investigations,2,,,,,,,
,2020-11-01,2020-11-30,Total_Item_Requests,2,,,,,,,
,,,Unique_Item_Requests,1,,,,,,,
,,,Total_Item_Investigations,2,,,,,,,
,,,Unique_Item_Investigations,1,,,,,,,
