Platform,Begin_date,End_date,Metric_type,Count
SAGE Journals,2020-04-01,2020-04-30,Total_Item_Requests,678
,,,Searches_Platform,135
,,,Unique_Item_Requests,481
,,,Total_Item_Investigations,827
,,,Unique_Item_Investigations,555
,2020-01-01,2020-01-31,Total_Item_Requests,1403
,,,Searches_Platform,435
,,,Unique_Item_Requests,1001
,,,Total_Item_Investigations,1745
,,,Unique_Item_Investigations,1201
,2020-02-01,2020-02-29,Total_Item_Requests,863
,,,Searches_Platform,133
,,,Unique_Item_Requests,659
,,,Total_Item_Investigations,1130
,,,Unique_Item_Investigations,836
,2020-03-01,2020-03-31,Total_Item_Requests,598
,,,Searches_Platform,41
,,,Unique_Item_Requests,428
,,,Total_Item_Investigations,749
,,,Unique_Item_Investigations,524
,2020-05-01,2020-05-31,Total_Item_Requests,573
,,,Searches_Platform,82
,,,Unique_Item_Requests,408
,,,Total_Item_Investigations,730
,,,Unique_Item_Investigations,479
,2020-06-01,2020-06-30,Total_Item_Requests,692
,,,Searches_Platform,168
,,,Unique_Item_Requests,488
,,,Total_Item_Investigations,839
,,,Unique_Item_Investigations,574
,2020-07-01,2020-07-31,Total_Item_Requests,1463
,,,Searches_Platform,555
,,,Unique_Item_Requests,1026
,,,Total_Item_Investigations,1675
,,,Unique_Item_Investigations,1154
,2020-08-01,2020-08-31,Total_Item_Requests,978
,,,Searches_Platform,214
,,,Unique_Item_Requests,717
,,,Total_Item_Investigations,1183
,,,Unique_Item_Investigations,839
,2020-09-01,2020-09-30,Total_Item_Requests,1458
,,,Searches_Platform,288
,,,Unique_Item_Requests,1065
,,,Total_Item_Investigations,1818
,,,Unique_Item_Investigations,1266
,2020-10-01,2020-10-31,Total_Item_Requests,1176
,,,Searches_Platform,312
,,,Unique_Item_Requests,908
,,,Total_Item_Investigations,1529
,,,Unique_Item_Investigations,1104
,2020-11-01,2020-11-30,Total_Item_Requests,1235
,,,Searches_Platform,147
,,,Unique_Item_Requests,904
,,,Total_Item_Investigations,1524
,,,Unique_Item_Investigations,1086
,2020-12-01,2020-12-31,Total_Item_Requests,991
,,,Searches_Platform,154
,,,Unique_Item_Requests,723
,,,Total_Item_Investigations,1155
,,,Unique_Item_Investigations,835
